,title,year,actors_count,actresses_count,producer_count_male,producer_count_female,director_count,directress_count,averageRating,numVotes,budget,revenue,actress_percent,actors_percent,women_directing_percent,men_directing_percent,women_producing_percent,men_producing_percent,Animation,Family,Fantasy,Musical,Romance,Music,Adventure,Drama,Comedy,Horror,Mystery,Documentary,Crime,Thriller,Action,Western,War,Sci-Fi,Sport,History,Biography,Film-Noir,Adult
0,snow_white_and_the_seven_dwarfs,1937,11,3,1,0,6,0,7.6,209885,1488423,184925486,21.0,79.0,0.0,100.0,0.0,100.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,fantasia,1940,6,1,2,0,11,0,7.7,101215,2280000,83320000,14.0,86.0,0.0,100.0,0.0,100.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,pinocchio,1940,9,3,1,0,7,0,7.5,155271,2600000,84300000,25.0,75.0,0.0,100.0,0.0,100.0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,the_prisoner_of_zenda,1937,36,11,1,0,2,0,7.6,4905,0,0,23.0,77.0,0.0,100.0,0.0,100.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,april_fool's_day,1986,8,5,1,0,1,0,6.1,17830,5000000,0,38.0,62.0,0.0,100.0,0.0,100.0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5,gerry,2002,2,0,2,0,1,0,6.0,19434,3500000,0,0.0,100.0,0.0,100.0,0.0,100.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,"sex,_lies,_and_videotape",1989,6,3,4,1,1,0,7.2,57782,1200000,0,33.0,67.0,0.0,100.0,20.0,80.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,pink_narcissus,1971,3,0,1,0,1,0,6.6,1608,27000,0,0.0,100.0,0.0,100.0,0.0,100.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,the_greatest_movie_ever_sold,2011,8,0,5,5,1,0,6.6,15079,0,621951,0.0,100.0,0.0,100.0,50.0,50.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,alone_with_her,2006,5,7,2,0,1,0,6.0,4164,1000000,10018,58.0,42.0,0.0,100.0,0.0,100.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
10,an_inconvenient_truth,2006,4,0,7,4,1,0,7.4,84631,1000000,46243000,0.0,100.0,0.0,100.0,36.0,64.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,the_texas_chain_saw_massacre,1974,15,2,4,0,1,0,7.4,175269,85000,30859000,12.0,88.0,0.0,100.0,0.0,100.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
12,harley_davidson_and_the_marlboro_man,1991,26,11,3,1,1,0,6.1,21690,23000000,7434726,30.0,70.0,0.0,100.0,25.0,75.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
13,the_blue_lagoon,1980,12,2,2,0,1,0,5.8,74675,4500000,58853106,14.0,86.0,0.0,100.0,0.0,100.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,dysfunktional_family,2003,4,0,6,0,1,0,6.5,897,0,0,0.0,100.0,0.0,100.0,0.0,100.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,the_pirate,1948,25,19,1,0,1,0,6.9,5395,3700000,2956000,43.0,57.0,0.0,100.0,0.0,100.0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,sands_of_iwo_jima,1949,43,6,1,0,1,0,7.0,11102,1000000,7800000,12.0,88.0,0.0,100.0,0.0,100.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
17,a_streetcar_named_desire,1951,17,6,1,0,1,0,7.9,112283,1800000,8000000,26.0,74.0,0.0,100.0,0.0,100.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,12_angry_men,1957,17,0,3,0,1,0,9.0,832561,350000,1000000,0.0,100.0,0.0,100.0,0.0,100.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,cat_on_a_hot_tin_roof,1958,11,7,1,0,1,0,7.9,52216,3000000,17570324,39.0,61.0,0.0,100.0,0.0,100.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,the_brain_that_wouldn't_die,1962,8,8,2,0,1,0,4.5,7372,62000,0,50.0,50.0,0.0,100.0,0.0,100.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
21,the_nun's_story,1959,12,27,2,0,1,0,7.5,11415,3500000,12800000,69.0,31.0,0.0,100.0,0.0,100.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,the_misfits,1961,15,5,2,0,1,0,7.2,22513,4000000,8200000,25.0,75.0,0.0,100.0,0.0,100.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,charly,1968,12,4,2,0,1,0,6.9,7120,950000,814666,25.0,75.0,0.0,100.0,0.0,100.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,topaz,1969,30,8,2,0,1,0,6.2,19094,4000000,6000000,21.0,79.0,0.0,100.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25,silent_running,1972,9,1,3,0,1,0,6.6,30727,1000000,0,10.0,90.0,0.0,100.0,0.0,100.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,the_exorcist,1973,26,15,3,0,1,0,8.1,432016,8000000,441306145,37.0,63.0,0.0,100.0,0.0,100.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
